table,field,type,unit,description,source_field
artist_aliases,artist_aliases,dict,,,artist_aliases
artist_aliases,begin,nonetype,date,Begin date (YYYY-MM-DD),begin
artist_aliases,begin,str,date,Begin date (YYYY-MM-DD),begin
artist_aliases,begin-date,nonetype,date,Begin date (YYYY-MM-DD),begin-date
artist_aliases,end,nonetype,date,End date (YYYY-MM-DD),end
artist_aliases,end-date,nonetype,date,End date (YYYY-MM-DD),end-date
artist_aliases,ended,bool,,Whether the entity has ended,ended
artist_aliases,locale,nonetype,,,locale
artist_aliases,locale,str,,,locale
artist_aliases,name,str,,Display name or title,name
artist_aliases,primary,bool,,,primary
artist_aliases,primary,nonetype,,,primary
artist_aliases,sort-name,str,,Name used for sorting,sort-name
artist_aliases,type,nonetype,,"Entity type from MusicBrainz (e.g., person, group, album)",type
artist_aliases,type,str,,"Entity type from MusicBrainz (e.g., person, group, album)",type
artist_aliases,type-id,nonetype,uuid,Type UUID in MusicBrainz,type-id
artist_aliases,type-id,str,uuid,Type UUID in MusicBrainz,type-id
artists,aliases,list,,,aliases
artists,aliases[],dict,,,aliases[]
artists,aliases[].begin,nonetype,date,Date in YYYY-MM-DD when available,aliases[].begin
artists,aliases[].begin,str,date,Date in YYYY-MM-DD when available,aliases[].begin
artists,aliases[].begin-date,nonetype,,,aliases[].begin-date
artists,aliases[].end,nonetype,date,Date in YYYY-MM-DD when available,aliases[].end
artists,aliases[].end-date,nonetype,,,aliases[].end-date
artists,aliases[].ended,bool,,,aliases[].ended
artists,aliases[].locale,nonetype,,,aliases[].locale
artists,aliases[].locale,str,,,aliases[].locale
artists,aliases[].name,str,,,aliases[].name
artists,aliases[].primary,bool,,,aliases[].primary
artists,aliases[].primary,nonetype,,,aliases[].primary
artists,aliases[].sort-name,str,,,aliases[].sort-name
artists,aliases[].type,nonetype,,,aliases[].type
artists,aliases[].type,str,,,aliases[].type
artists,aliases[].type-id,nonetype,,,aliases[].type-id
artists,aliases[].type-id,str,,,aliases[].type-id
artists,area,dict,,,area
artists,area.disambiguation,str,,,area.disambiguation
artists,area.id,str,uuid,Primary or foreign key MBID (UUID),area.id
artists,area.iso-3166-1-codes,list,,,area.iso-3166-1-codes
artists,area.iso-3166-1-codes[],str,,,area.iso-3166-1-codes[]
artists,area.life-span,dict,,,area.life-span
artists,area.life-span.ended,nonetype,,,area.life-span.ended
artists,area.name,str,,,area.name
artists,area.sort-name,str,,,area.sort-name
artists,area.type,nonetype,,,area.type
artists,area.type,str,,,area.type
artists,area.type-id,nonetype,,,area.type-id
artists,area.type-id,str,,,area.type-id
artists,artists,dict,,,artists
artists,begin-area,dict,,,begin-area
artists,begin-area.disambiguation,str,,,begin-area.disambiguation
artists,begin-area.id,str,uuid,Primary or foreign key MBID (UUID),begin-area.id
artists,begin-area.life-span,dict,,,begin-area.life-span
artists,begin-area.life-span.ended,nonetype,,,begin-area.life-span.ended
artists,begin-area.name,str,,,begin-area.name
artists,begin-area.sort-name,str,,,begin-area.sort-name
artists,begin-area.type,nonetype,,,begin-area.type
artists,begin-area.type,str,,,begin-area.type
artists,begin-area.type-id,nonetype,,,begin-area.type-id
artists,begin-area.type-id,str,,,begin-area.type-id
artists,country,str,ISO-2,Release country code,country
artists,disambiguation,str,,Short comment to distinguish similar entities,disambiguation
artists,end-area,dict,,,end-area
artists,end-area,nonetype,,,end-area
artists,end-area.disambiguation,str,,,end-area.disambiguation
artists,end-area.id,str,uuid,Primary or foreign key MBID (UUID),end-area.id
artists,end-area.life-span,dict,,,end-area.life-span
artists,end-area.life-span.ended,nonetype,,,end-area.life-span.ended
artists,end-area.name,str,,,end-area.name
artists,end-area.sort-name,str,,,end-area.sort-name
artists,end-area.type,nonetype,,,end-area.type
artists,end-area.type,str,,,end-area.type
artists,end-area.type-id,nonetype,,,end-area.type-id
artists,end-area.type-id,str,,,end-area.type-id
artists,gender,nonetype,,Artist gender when applicable,gender
artists,gender,str,,Artist gender when applicable,gender
artists,gender-id,nonetype,,,gender-id
artists,gender-id,str,,,gender-id
artists,genres,list,,,genres
artists,genres[],dict,,,genres[]
artists,genres[].count,int,,Genre vote count,genres[].count
artists,genres[].disambiguation,str,,,genres[].disambiguation
artists,genres[].id,str,uuid,Primary or foreign key MBID (UUID),genres[].id
artists,genres[].name,str,,Genre label,genres[].name
artists,id,str,uuid,Primary MBID (MusicBrainz UUID),id
artists,ipis,list,,,ipis
artists,ipis[],list(empty),,,ipis[]
artists,ipis[],str,,,ipis[]
artists,isnis,list,,,isnis
