name_a,name_b,weight
Cardi B,Dj Khalid,1
Cardi B,Jennifer Lopez,1
Dana D Nova,Dj Khalid,1
Dana D Nova,Seo Fernandez,1
Daniel y Desirée,DerekVinci,1
Daniel y Desirée,Dj Khalid,1
Daniel y Desirée,Jhonny Evidence,1
Daniel y Desirée,Johandy,1
Daniel y Desirée,Mr. Don,1
Daniel y Desirée,Vinny Rivera,1
DerekVinci,Dj Khalid,1
DerekVinci,Jhonny Evidence,1
DerekVinci,Johandy,1
DerekVinci,Mr. Don,1
DerekVinci,Vinny Rivera,1
Dj Khalid,Jennifer Lopez,1
Dj Khalid,Jhonny Evidence,1
Dj Khalid,Johandy,2
Dj Khalid,Johanna Pellerin,1
Dj Khalid,Kewin Cosmos,1
Dj Khalid,Manny Rod,2
Dj Khalid,Marco Puma,1
Dj Khalid,Melvin War,1
Dj Khalid,Mr. Don,3
Dj Khalid,Mr.Don,2
Dj Khalid,Paul Waked,1
Dj Khalid,Seo Fernandez,1
Dj Khalid,Tiguere,1
Dj Khalid,Vinny Rivera,1
Jhonny Evidence,Johandy,1
Jhonny Evidence,Mr. Don,1
Jhonny Evidence,Vinny Rivera,1
Johandy,Mr. Don,1
Johandy,Mr.Don,1
Johandy,Vinny Rivera,1
Kewin Cosmos,Melvin War,1
Kewin Cosmos,Tiguere,1
Melvin War,Tiguere,1
Mr. Don,Vinny Rivera,1
