artist_mbid,artist_name,rg_mbid,rg_title,primary_type,first_release_date,first_release_year
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,16553eee-ed51-340c-a6f9-f45281d63deb,"Promo Only: Urban Radio, September 2002",Album,2002-08,2002.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,af101389-d679-4fbd-a6b3-3bd5c1eff47b,Work It Out,Single,2002-07-15,2002.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,f639ba46-b371-3262-b494-5f2dbee36f5c,Dangerously in Love,Album,2003-06-25,2003.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,db1e2701-1bb5-38dc-9073-00a58ba784d3,Live at Wembley,Album,2004-04-26,2004.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,995f181c-4a34-3c97-b815-4e3a7c24f069,Woman VI,Album,2004-10-28,2004.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,4880d6ab-3074-3483-9297-6f0dbb518688,Deja vu,Single,2006-11,2006.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,7f3bb527-a026-32e7-96db-a30ddf50e5f2,Fired Up! 3,Album,2006-02-21,2006.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,2c636c41-f3a4-46ee-a9f6-8f1db27e442d,Ring the Alarm,Single,2006,2006.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,1f0ddb46-3247-426f-a51e-955257aee146,You're Fit,Album,2006,2006.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,9fdbccb2-9b51-36b7-b643-c7ae586b797d,B’Day,Album,2007-04-03,2007.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,96e72881-581f-4830-a771-f97777c6751c,B’Day Anthology Video Album,Album,2007-04-03,2007.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,d14c8b62-e10a-4e8d-a668-97b94e94c0a6,DMC Commercial Collection 295,Album,2007-08,2007.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,a23670af-0527-486d-ae6c-c1a093b0a9d6,"Gunsta Fighters, Volume 1",Album,2007-05-20,2007.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,b6d34031-2c7a-4e1d-820a-ee567ef217e4,The Beyoncé Experience Live,Album,2007-11-19,2007.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,6f8e8119-de1b-39f0-85ca-b5252cb9211d,I Am… Sasha Fierce,Album,2008-10-13,2008.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,be855681-318c-4b67-b863-fccf33dc6495,Mr. Mig Remix Sampler ’08,Album,2008,2008.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,34e5762e-2049-3c4f-8b2a-23aff3efa5a2,"Promo Only: Mainstream Club, January 2009",Album,2008-12-10,2008.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,4679a456-b742-4b6e-b14d-97d8e027a1c4,With Love X: 40 Beautiful Songs to Show You Care,Album,2008-02-04,2008.0
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,6cfc728b-c417-4993-9630-54beb7845579,Your Girls Favorite Mixtape (Fall Edition 2),Album,2008-11-22,2008.0
