genre_1,genre_2,n
acid rock,acid rock,2
acid rock,ambient,2
acid rock,art rock,2
acid rock,blues,2
acid rock,blues rock,2
acid rock,classic rock,2
acid rock,classical,1
acid rock,electronic,2
acid rock,experimental,1
acid rock,experimental rock,2
acid rock,jazz,2
acid rock,pop,1
acid rock,progressive,2
acid rock,progressive rock,2
acid rock,psychedelic rock,2
acid rock,rock,2
acid rock,space rock,2
acid rock,trance,2
acoustic rock,acoustic rock,1
acoustic rock,alternative rock,1
acoustic rock,folk rock,1
acoustic rock,grunge,1
acoustic rock,indie rock,1
acoustic rock,rock,1
alternative rock,acoustic rock,1
alternative rock,alternative rock,34
alternative rock,ambient,2
alternative rock,art rock,4
alternative rock,avant-garde,1
alternative rock,blues,3
alternative rock,classic rock,3
alternative rock,classical,2
alternative rock,electro,2
alternative rock,electronic,5
alternative rock,experimental,1
alternative rock,experimental rock,1
alternative rock,folk rock,2
alternative rock,grunge,28
alternative rock,hard rock,1
alternative rock,hardcore punk,1
alternative rock,house,4
alternative rock,indie rock,3
alternative rock,jazz,2
alternative rock,lo-fi,1
alternative rock,musique concrète,1
alternative rock,noise rock,3
alternative rock,pop,2
alternative rock,post-hardcore,2
alternative rock,progressive,1
alternative rock,progressive house,1
alternative rock,progressive rock,4
alternative rock,psychedelic pop,1
alternative rock,psychedelic rock,4
alternative rock,punk,5
alternative rock,punk rock,3
alternative rock,rock,34
alternative rock,rock opera,1
alternative rock,sludge metal,1
alternative rock,space rock,3
alternative rock,stoner rock,1
alternative rock,symphonic rock,1
alternative rock,trance,3
ambient,acid rock,2
ambient,alternative rock,2
ambient,ambient,15
ambient,arena rock,1
ambient,art rock,15
ambient,avant-garde,1
ambient,blues,6
ambient,blues rock,2
ambient,classic rock,11
ambient,classical,10
ambient,electronic,14
ambient,experimental,2
ambient,experimental rock,5
ambient,folk rock,1
ambient,hard rock,4
ambient,house,4
ambient,jazz,14
ambient,musique concrète,1
ambient,pop,9
ambient,pop rock,1
ambient,progressive,7
ambient,progressive rock,15
ambient,psychedelic pop,1
ambient,psychedelic rock,14
ambient,rock,15
ambient,rock opera,1
ambient,space rock,12
ambient,symphonic rock,2
ambient,techno,1
ambient,trance,8
arena rock,ambient,1
arena rock,arena rock,3
arena rock,art rock,2
arena rock,electronic,1
arena rock,hard rock,1
arena rock,jazz,1
arena rock,pop,1
arena rock,progressive rock,2
arena rock,psychedelic rock,3
arena rock,rock,3
arena rock,rock and roll,1
arena rock,space rock,1
arena rock,symphonic rock,1
arena rock,trance,1
art rock,acid rock,2
art rock,alternative rock,4
art rock,ambient,15
art rock,arena rock,2
art rock,art rock,36
art rock,avant-garde,3
art rock,blues,7
art rock,blues rock,2
art rock,classic rock,19
art rock,classical,10
art rock,electronic,14
art rock,experimental,2
art rock,experimental rock,7
art rock,folk rock,1
art rock,hard rock,9
art rock,house,4
art rock,jazz,14
art rock,musique concrète,1
art rock,pop,10
art rock,pop rock,3
art rock,progressive,9
art rock,progressive rock,28
art rock,psychedelic folk,1
art rock,psychedelic pop,2
art rock,psychedelic rock,30
art rock,rock,36
art rock,rock opera,1
art rock,space rock,17
art rock,symphonic prog,3
art rock,symphonic rock,3
art rock,techno,1
art rock,trance,8
avant-garde,alternative rock,1
avant-garde,ambient,1
avant-garde,art rock,3
avant-garde,avant-garde,3
avant-garde,classic rock,1
avant-garde,classical,1
avant-garde,electronic,1
avant-garde,hard rock,2
avant-garde,jazz,1
avant-garde,pop,1
avant-garde,progressive rock,3
avant-garde,psychedelic pop,1
avant-garde,psychedelic rock,2
avant-garde,rock,3
avant-garde,space rock,1
blues,acid rock,2
blues,alternative rock,3
blues,ambient,6
blues,art rock,7
blues,blues,11
blues,blues rock,2
blues,classic rock,7
blues,classical,4
blues,electronic,6
blues,experimental,2
blues,experimental rock,4
blues,grunge,3
blues,hard rock,2
blues,house,4
blues,jazz,6
blues,musique concrète,1
blues,non-music,1
blues,pop,6
blues,progressive,4
blues,progressive rock,8
blues,psychedelic rock,8
blues,rock,11
blues,rock opera,1
blues,space rock,6
blues,speech,1
blues,symphonic rock,2
blues,trance,5
blues rock,acid rock,2
blues rock,ambient,2
blues rock,art rock,2
blues rock,blues,2
blues rock,blues rock,2
blues rock,classic rock,2
blues rock,classical,1
blues rock,electronic,2
blues rock,experimental,1
blues rock,experimental rock,2
blues rock,jazz,2
blues rock,pop,1
blues rock,progressive,2
blues rock,progressive rock,2
blues rock,psychedelic rock,2
blues rock,rock,2
blues rock,space rock,2
blues rock,trance,2
classic rock,acid rock,2
classic rock,alternative rock,3
classic rock,ambient,11
classic rock,art rock,19
classic rock,avant-garde,1
classic rock,blues,7
classic rock,blues rock,2
classic rock,classic rock,23
classic rock,classical,7
classic rock,electronic,10
classic rock,experimental,2
classic rock,experimental rock,6
classic rock,folk rock,1
classic rock,hard rock,5
