decade,genre,count
1940,blues,1
1940,dixieland,1
1940,jazz,2
1940,ragtime,1
1950,ballad,2
1950,big band,1
1950,blue-eyed soul,1
1950,blues,1
1950,blues rock,1
1950,christmas music,1
1950,country gospel,1
1950,dixieland,3
1950,gospel,2
1950,jazz,14
1950,musical,1
1950,opera,1
1950,pop,5
1950,pop rock,2
1950,ragtime,1
1950,rock,8
1950,rock and roll,8
1950,rockabilly,6
1950,smooth jazz,2
1950,southern gospel,1
1950,swing,4
1950,traditional pop,3
1950,vocal jazz,8
1960,ballad,2
1960,blue-eyed soul,1
1960,blues,1
1960,country,2
1960,country soul,1
1960,dixieland,7
1960,gospel,2
1960,jazz,17
1960,jazz pop,1
1960,pop,13
1960,pop rock,3
1960,ragtime,1
1960,rock,10
1960,rock and roll,9
1960,rockabilly,9
1960,soul,1
1960,southern gospel,2
1960,swing,7
1960,traditional country,1
1960,traditional pop,2
1960,vocal jazz,2
1970,ballad,9
1970,big band,3
1970,blue-eyed soul,1
1970,blues,3
1970,chicago blues,1
1970,christmas music,2
1970,classic rock,1
1970,contemporary gospel,2
1970,cool jazz,1
1970,country,9
1970,country gospel,1
1970,country pop,1
1970,country rock,3
1970,dixieland,4
1970,folk rock,1
1970,gospel,5
1970,hip hop,1
1970,jazz,17
1970,lounge,1
1970,pop,30
1970,pop rock,13
1970,progressive country,1
1970,r&b,1
1970,rock,37
1970,rock and roll,19
1970,rockabilly,14
1970,soft rock,1
1970,soul,1
1970,southern gospel,2
1970,swing,9
1970,traditional country,1
1980,ballad,1
1980,big band,3
1980,blues,4
1980,country,3
1980,dixieland,4
1980,gospel,1
1980,jazz,15
1980,pop,4
1980,pop rock,2
1980,rock,7
1980,rock and roll,7
1980,swing,3
1980,traditional pop,1
1980,vocal jazz,2
1990,acid house,1
1990,alternative rock,26
1990,art pop,1
1990,art rock,2
1990,blues,2
1990,boom bap,1
1990,breaks,1
1990,britpop,4
1990,chicago house,1
1990,dance,1
1990,deep house,2
1990,disco,1
1990,downtempo,1
1990,east coast hip hop,4
1990,electro,1
1990,electronic,17
1990,experimental,2
1990,french house,5
1990,gangsta rap,3
1990,grunge,2
1990,hardcore hip hop,3
1990,hip hop,14
1990,house,9
1990,indie rock,8
1990,jazz rap,1
1990,leftfield,2
1990,pop,1
1990,pop rap,4
1990,pop rock,2
1990,post-britpop,2
1990,psychedelic,1
1990,rock,27
1990,space rock revival,1
1990,tech house,4
1990,techno,5
2000,acid house,2
2000,alternative hip hop,1
2000,alternative metal,3
2000,alternative punk,1
2000,alternative rock,19
2000,art pop,2
2000,art rock,12
